m,n,p,lambda,R
4801,6,0.9,0.003961333883621868,0.0010269926816571845
4851,6,0.9,0.003961333883621868,0.0010376882938385756
4901,6,0.9,0.003961333883621868,0.001048383906019967
4951,6,0.9,0.003961333883621868,0.0010590795182013582
1,1,0.9,0.004189547367402457,0.004189547367402457
2251,6,0.9,0.004189547367402457,0.0005092567499539875
2301,6,0.9,0.004189547367402457,0.0005205685391577634
2351,6,0.9,0.004189547367402457,0.0005318803283615392
2401,6,0.9,0.004189547367402457,0.0005431921175653151
2451,6,0.9,0.004189547367402457,0.0005545039067690909
2501,6,0.9,0.004189547367402457,0.0005658156959728667
2551,6,0.9,0.004189547367402457,0.0005771274851766427
2601,6,0.9,0.004189547367402457,0.0005884392743804184
2651,6,0.9,0.004189547367402457,0.0005997510635841942
2701,6,0.9,0.004189547367402457,0.00061106285278797
2751,6,0.9,0.004189547367402457,0.0006223746419917459
2801,6,0.9,0.004189547367402457,0.0006336864311955216
2851,6,0.9,0.004189547367402457,0.0006449982203992975
2901,6,0.9,0.004189547367402457,0.0006563100096030732
2951,6,0.9,0.004189547367402457,0.0006676217988068492
3001,6,0.9,0.004189547367402457,0.000678933588010625
3051,6,0.9,0.004189547367402457,0.0006902453772144009
3101,6,0.9,0.004189547367402457,0.0007015571664181767
3151,6,0.9,0.004189547367402457,0.0007128689556219524
3201,6,0.9,0.004189547367402457,0.0007241807448257284
3251,6,0.9,0.004189547367402457,0.0007354925340295042
3301,6,0.9,0.004189547367402457,0.00074680432323328
3351,6,0.9,0.004189547367402457,0.0007581161124370557
3401,6,0.9,0.004189547367402457,0.0007694279016408316
3451,6,0.9,0.004189547367402457,0.0007807396908446076
3501,6,0.9,0.004189547367402457,0.0007920514800483833
3551,6,0.9,0.004189547367402457,0.0008033632692521591
3601,6,0.9,0.004189547367402457,0.000814675058455935
3651,6,0.9,0.004189547367402457,0.0008259868476597108
3701,6,0.9,0.004189547367402457,0.0008372986368634865
3751,6,0.9,0.004189547367402457,0.0008486104260672624
3801,6,0.9,0.004189547367402457,0.0008599222152710382
3851,6,0.9,0.004189547367402457,0.0008712340044748141
3901,6,0.9,0.004189547367402457,0.0008825457936785899
3951,6,0.9,0.004189547367402457,0.0008938575828823656
4001,6,0.9,0.004189547367402457,0.0009051693720861416
4051,6,0.9,0.004189547367402457,0.0009164811612899174
